Column,explaination,missing_percentage,Unique Values,drop?,imputation,uniques_Values,note!
REPORT_TYPE,"Type of report filed (e.g., initial, final, supplemental)",0,4,1,,['ORIGINAL' 'ORIGINAL FINAL' 'SUPPLEMENTAL' 'SUPPLEMENTAL FINAL'],
LOCAL_DATETIME,Local date and time when the incident was identified,0,5444,1,,"['9/5/2024 18:20' '9/1/2024 9:48' '8/30/2024 13:00' ... '1/5/2010 10:30'
 '1/4/2010 8:30' '1/1/2010 7:15']",
COMMODITY_RELEASED_TYPE,Type of commodity that was released during the incident,0,5,,,"['REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS'
 'HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS'
 'CRUDE OIL' 'CO2 (CARBON DIOXIDE)'
 'BIOFUEL / ALTERNATIVE FUEL(INCLUDING ETHANOL BLENDS)']",
INJURY_IND,Indicates if the incident resulted in any injuries,0,2,0,,['NO' 'YES'],"for now, injury and fatality is captured in numerical features"
PIPE_FACILITY_TYPE,Type of facility or pipeline involved,0,2,,,['INTERSTATE' 'INTRASTATE'],
CAUSE_DETAILS,Detailed description of the cause of the incident,0,39,1,,"['EXTERNAL CORROSION'
 '""DESIGN-, CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED""'
 'INTERNAL CORROSION' 'UNKNOWN' 'NON-THREADED CONNECTION FAILURE'
 'DEFECTIVE OR LOOSE TUBING OR FITTING' 'OTHER EQUIPMENT FAILURE'
 'OTHER INCORRECT OPERATION ' 'PUMP OR PUMP-RELATED EQUIPMENT'
 'MISCELLANEOUS' 'MALFUNCTION OF CONTROL/RELIEF EQUIPMENT'
 '""FAILURE OF EQUIPMENT BODY (EXCEPT PUMP), TANK PLATE, OR OTHER MATERIAL""'
 'THREADED CONNECTION/COUPLING FAILURE'
 '""TANK, VESSEL, OR SUMP/SEPARATOR ALLOWED OR CAUSED TO OVERFILL OR OVERFLOW""'
 'PIPELINE OR EQUIPMENT OVERPRESSURED'
 '""NEARBY INDUSTRIAL, MAN-MADE, OR OTHER FIRE/EXPLOSION AS PRIMARY CAUSE OF ACCIDENT""'
 'WRONG EQUIPMENT SPECIFIED OR INSTALLED' 'INTENTIONAL DAMAGE'
 'EQUIPMENT NOT INSTALLED PROPERLY'
 ""EXCAVATION DAMAGE BY OPERATOR'S CONTRACTOR (SECOND PARTY)""
 'ORIGINAL MANUFACTURING-RELATED (NOT GIRTH WELD OR OTHER WELDS FORMED IN THE FIELD)'
 'ENVIRONMENTAL CRACKING-RELATED'
 '""VALVE LEFT OR PLACED IN WRONG POSITION, BUT NOT RESULTING IN A TANK, VESSEL, OR SUMP/SEPARATOR OVERFLOW OR FACILITY OVERPRESSURE""'
 'HEAVY RAINS/FLOODS' 'EXCAVATION DAMAGE BY THIRD PARTY'
 '""DAMAGE BY CAR, TRUCK, OR OTHER MOTORIZED VEHICLE/EQUIPMENT NOT ENGAGED IN EXCAVATION""'
 'ELECTRICAL ARCING FROM OTHER EQUIPMENT OR FACILITY' 'TEMPERATURE'
 '""EARTH MOVEMENT, NOT DUE TO HEAVY RAINS/FLOODS""'
 'OTHER OUTSIDE FORCE DAMAGE' 'OTHER NATURAL FORCE DAMAGE'
 ""DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR NOT RELATED TO EXCAVATION AND NOT DUE TO MOTORIZED VEHICLE/EQUIPMENT DAMAGE""
 'PREVIOUS DAMAGE DUE TO EXCAVATION ACTIVITY' 'LIGHTNING'
 'ROUTINE OR NORMAL FISHING OR OTHER MARITIME ACTIVITY NOT ENGAGED IN EXCAVATION'
 '""DAMAGE BY BOATS, BARGES, DRILLING RIGS, OR OTHER MARITIME EQUIPMENT OR VESSELS SET ADRIFT OR WHICH HAVE OTHERWISE LOST THEIR MOORING""'
 'HIGH WINDS' 'EXCAVATION DAMAGE BY OPERATOR (FIRST PARTY)'
 'PREVIOUS MECHANICAL DAMAGE NOT RELATED TO EXCAVATION']",
CAUSE,The primary cause of the incident,0,8,,,"['CORROSION FAILURE' 'MATERIAL FAILURE OF PIPE OR WELD'
 'OTHER ACCIDENT CAUSE' 'EQUIPMENT FAILURE' 'INCORRECT OPERATION'
 'OTHER OUTSIDE FORCE DAMAGE' 'EXCAVATION DAMAGE' 'NATURAL FORCE DAMAGE']",
SYSTEM_PART_INVOLVED,Part of the system that was involved in the incident,0,7,,,"['""ONSHORE PIPELINE, INCLUDING VALVE SITES""'
 'ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING'
 'ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING'
 '""ONSHORE BREAKOUT TANK OR STORAGE VESSEL, INCLUDING ATTACHED APPURTENANCES""'
 'ONSHORE EQUIPMENT AND PIPING ASSOCIATED WITH BELOWGROUND STORAGE'
 '""OFFSHORE PIPELINE, INCLUDING RISER AND RISER BEND""'
 '""OFFSHORE PLATFORM/DEEPWATER PORT, INCLUDING PLATFORM-MOUNTED EQUIPMENT AND PIPING""']",
ON_OFF_SHORE,Specifies if the incident occurred onshore or offshore,0,2,1,,['ONSHORE' 'OFFSHORE'],
PIPELINE_FUNCTION,Function of the pipeline involved in the incident,0,4,,,"['> 20% SMYS REGULATED TRANSMISSION' '< 20% SMYS REGULATED TRANSMISSION'
 '> 20% SMYS REGULATED GATHERING' '=< 20% SMYS REGULATED GATHERING']",
